date,open,high,low,close,volume
1502946240000,4308.83,4308.83,4304.31,4304.31,0.12958
1502946300000,4308.83,4328.69,4308.83,4328.69,3.256981
1502946360000,4328.69,4328.69,4328.69,4328.69,0.512132
1502946420000,4328.69,4328.69,4328.69,4328.69,0.342269
1502946480000,4328.69,4328.69,4328.69,4328.69,0.152537
1502946540000,4328.69,4328.69,4328.69,4328.69,0.010853
1502946600000,4328.69,4328.69,4328.69,4328.69,0.155944
1502946660000,4328.69,4328.69,4328.69,4328.69,0
1502946720000,4320,4320,4320,4320,0.064332
1502946780000,4320,4320,4304.31,4304.31,0.12325
1502946840000,4304.31,4304.31,4304.31,4304.31,0
1502946900000,4320,4320,4320,4320,0.63019
1502946960000,4312.14,4319.99,4312.14,4319.99,4.193217
1502947020000,4319.99,4319.99,4319.99,4319.99,0
1502947080000,4320,4320,4320,4320,0.083587
1502947140000,4320,4320,4320,4320,0.544539
1502947200000,4320,4320,4320,4320,0.956569
1502947260000,4320,4320,4320,4320,0
1502947320000,4320,4320,4320,4320,0.241428
1502947380000,4320,4320,4320,4320,0.062136
1502947440000,4320,4320,4320,4320,2.18634
1502947500000,4319.22,4319.22,4319.22,4319.22,4.112028
1502947560000,4320,4320,4320,4320,2.081048
1502947620000,4320,4320,4320,4320,0.06254
1502947680000,4320,4320,4320,4320,0
1502947740000,4320,4320,4320,4320,0.793873
1502947800000,4320,4320,4320,4320,0.179009
1502947860000,4320,4320,4320,4320,0.590538
1502947920000,4320,4320,4320,4320,0.048053
1502947980000,4320,4320,4320,4320,0.030719
1502948040000,4320,4320,4320,4320,0.179059
1502948100000,4320,4320,4320,4320,0.501599
1502948160000,4320,4320,4320,4320,0.019386
1502948220000,4320,4320,4320,4320,0.373933
1502948280000,4320,4320,4320,4320,0.09839
1502948340000,4291.37,4291.37,4291.37,4291.37,0.134767
